INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT																																																																																																							
22847	±‰“Ï¡ÈÕ√ ﬁ	2284	85	9	1	0	100	10	700	550000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	742	1143	2063	1187	1484	1357	1492	1560	1764	2035	500	100	200	100	100	60000	22840	7	22840																																																																																																					
22849	¡ÈÕ√ ﬁ±¶±¶	2284	85	9	0	1	100	10	700	550000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	571	879	1587	913	1142	1357	1492	1560	1764	2035	500	100	200	100	100	60000	22840	0	22840																																																																																																					
22850	≥…ƒÍ¡ÈÕ√ ﬁ	2285	95	9	0	0	100	10	700	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	591	910	1644	946	1183	1459	1604	1677	1896	2388	500	100	200	100	100	60000	22850	9	22850																																																																																																					
22851	±‰“Ï¡ÈÕ√ ﬁ	2285	95	9	1	0	100	10	700	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	613	945	1706	981	1227	1459	1604	1677	1896	2388	500	100	200	100	100	60000	22850	1	22850																																																																																																					
22852	±‰“Ï¡ÈÕ√ ﬁ	2285	95	9	1	0	100	10	700	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	635	979	1767	1017	1271	1459	1604	1677	1896	2388	500	100	200	100	100	60000	22850	2	22850																																																																																																					
22853	±‰“Ï¡ÈÕ√ ﬁ	2285	95	9	1	0	100	10	700	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	658	1013	1829	1052	1316	1459	1604	1677	1896	2388	500	100	200	100	100	60000	22850	3	22850																																																																																																					
22854	±‰“Ï¡ÈÕ√ ﬁ	2285	95	9	1	0	100	10	700	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	680	1047	1891	1088	1360	1459	1604	1677	1896	2388	500	100	200	100	100	60000	22850	4	22850																																																																																																					
22855	±‰“Ï¡ÈÕ√ ﬁ	2285	95	9	1	0	100	10	700	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	702	1081	1952	1123	1404	1459	1604	1677	1896	2388	500	100	200	100	100	60000	22850	5	22850																																																																																																					
22856	±‰“Ï¡ÈÕ√ ﬁ	2285	95	9	1	0	100	10	700	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	724	1115	2014	1159	1449	1459	1604	1677	1896	2388	500	100	200	100	100	60000	22850	6	22850																																																																																																					
22857	±‰“Ï¡ÈÕ√ ﬁ	2285	95	9	1	0	100	10	700	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	746	1150	2076	1194	1493	1459	1604	1677	1896	2388	500	100	200	100	100	60000	22850	7	22850																																																																																																					
22858	±‰“Ï¡ÈÕ√ ﬁ	2285	95	9	1	0	100	10	700	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	768	1184	2137	1230	1537	1459	1604	1677	1896	2388	500	100	200	100	100	60000	22850	8	22850																																																																																																					
22859	¡ÈÕ√ ﬁ±¶±¶	2285	95	9	0	1	100	10	700	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	591	910	1644	946	1183	1459	1604	1677	1896	2388	500	100	200	100	100	60000	22850	0	22850																																																																																																					
22860	≥…ƒÍ÷¡◊…Ò ﬁ	2286	5	9	0	0	1000	10	694	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1294	966	469	844	656	846	930	972	1099	1269	100	100	200	100	500	60000	22860	9	22860																																																																																																					
22861	±‰“Ï÷¡◊…Ò ﬁ	2286	5	9	1	0	1000	10	694	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1488	1111	539	970	755	846	930	972	1099	1269	100	100	200	100	500	60000	22860	1	22860																																																																																																					
22862	±‰“Ï÷¡◊…Ò ﬁ	2286	5	9	1	0	1000	10	694	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1682	1255	609	1097	853	846	930	972	1099	1269	100	100	200	100	500	60000	22860	2	22860																																																																																																					
22869	÷¡◊…Ò ﬁ±¶±¶	2286	5	9	0	1	1000	10	672	1000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1294	966	469	844	656	846	930	972	1099	1269	100	100	200	100	500	60000	22860	0	22860																																																																																																					
22870	≥…ƒÍ÷¡◊…Ò ﬁ	2287	45	9	0	0	1000	10	694	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1351	1008	489	881	685	948	1042	1090	1232	1422	100	100	200	100	500	60000	22870	9	22870																																																																																																					
22871	±‰“Ï÷¡◊…Ò ﬁ	2287	45	9	1	0	1000	10	694	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1486	1109	538	969	753	948	1042	1090	1232	1422	100	100	200	100	500	60000	22870	1	22870																																																																																																					
22872	±‰“Ï÷¡◊…Ò ﬁ	2287	45	9	1	0	1000	10	694	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1621	1210	587	1057	822	948	1042	1090	1232	1422	100	100	200	100	500	60000	22870	2	22870																																																																																																					
22873	±‰“Ï÷¡◊…Ò ﬁ	2287	45	9	1	0	1000	10	694	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1756	1310	636	1145	890	948	1042	1090	1232	1422	100	100	200	100	500	60000	22870	3	22870																																																																																																					
22879	÷¡◊…Ò ﬁ±¶±¶	2287	45	9	0	1	1000	10	672	1000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	1351	1008	489	881	685	948	1042	1090	1232	1422	100	100	200	100	500	60000	22870	0	22870																																																																																																					
22880	≥…ƒÍ÷¡◊…Ò ﬁ	2288	55	9	0	0	1000	10	694	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1407	1050	510	918	714	1051	1156	1208	1366	1576	100	100	200	100	500	60000	22880	9	22880																																																																																																					
22881	±‰“Ï÷¡◊…Ò ﬁ	2288	55	9	1	0	1000	10	694	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1513	1129	548	986	767	1051	1156	1208	1366	1576	100	100	200	100	500	60000	22880	1	22880																																																																																																					
22882	±‰“Ï÷¡◊…Ò ﬁ	2288	55	9	1	0	1000	10	694	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1618	1208	586	1055	821	1051	1156	1208	1366	1576	100	100	200	100	500	60000	22880	2	22880																																																																																																					
22883	±‰“Ï÷¡◊…Ò ﬁ	2288	55	9	1	0	1000	10	694	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1724	1286	624	1124	874	1051	1156	1208	1366	1576	100	100	200	100	500	60000	22880	3	22880																																																																																																					
22884	±‰“Ï÷¡◊…Ò ﬁ	2288	55	9	1	0	1000	10	694	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1829	1365	663	1193	928	1051	1156	1208	1366	1576	100	100	200	100	500	60000	22880	4	22880																																																																																																					
22889	÷¡◊…Ò ﬁ±¶±¶	2288	55	9	0	1	1000	10	672	1000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	1407	1050	510	918	714	1051	1156	1208	1366	1576	100	100	200	100	500	60000	22880	0	22880																																																																																																					
22890	≥…ƒÍ÷¡◊…Ò ﬁ	2289	65	9	0	0	1000	10	694	450000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1464	1092	530	954	742	1153	1268	1325	1498	1729	100	100	200	100	500	60000	22890	9	22890																																																																																																					
22891	±‰“Ï÷¡◊…Ò ﬁ	2289	65	9	1	0	1000	10	694	450000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1552	1158	562	1012	787	1153	1268	1325	1498	1729	100	100	200	100	500	60000	22890	1	22890																																																																																																					
22892	±‰“Ï÷¡◊…Ò ﬁ	2289	65	9	1	0	1000	10	694	450000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1639	1223	594	1069	831	1153	1268	1325	1498	1729	100	100	200	100	500	60000	22890	2	22890																																																																																																					
22893	±‰“Ï÷¡◊…Ò ﬁ	2289	65	9	1	0	1000	10	694	450000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1727	1289	625	1126	876	1153	1268	1325	1498	1729	100	100	200	100	500	60000	22890	3	22890																																																																																																					
22894	±‰“Ï÷¡◊…Ò ﬁ	2289	65	9	1	0	1000	10	694	450000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1815	1355	657	1184	920	1153	1268	1325	1498	1729	100	100	200	100	500	60000	22890	4	22890																																																																																																					
22895	±‰“Ï÷¡◊…Ò ﬁ	2289	65	9	1	0	1000	10	694	450000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1903	1420	689	1241	965	1153	1268	1325	1498	1729	100	100	200	100	500	60000	22890	5	22890																																																																																																					
22899	÷¡◊…Ò ﬁ±¶±¶	2289	65	9	0	1	1000	10	672	1000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	1464	1092	530	954	742	1153	1268	1325	1498	1729	100	100	200	100	500	60000	22890	0	22890																																																																																																					
22900	≥…ƒÍ÷¡◊…Ò ﬁ	2290	75	9	0	0	1000	10	694	500000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1520	1135	551	991	771	1255	1380	1443	1631	1882	100	100	200	100	500	60000	22900	9	22900																																																																																																					
22901	±‰“Ï÷¡◊…Ò ﬁ	2290	75	9	1	0	1000	10	694	500000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1596	1191	578	1041	809	1255	1380	1443	1631	1882	100	100	200	100	500	60000	22900	1	22900																																																																																																					
22902	±‰“Ï÷¡◊…Ò ﬁ	2290	75	9	1	0	1000	10	694	500000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1672	1248	606	1090	848	1255	1380	1443	1631	1882	100	100	200	100	500	60000	22900	2	22900																																																																																																					
22903	±‰“Ï÷¡◊…Ò ﬁ	2290	75	9	1	0	1000	10	694	500000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1748	1305	633	1140	887	1255	1380	1443	1631	1882	100	100	200	100	500	60000	22900	3	22900																																																																																																					
22904	±‰“Ï÷¡◊…Ò ﬁ	2290	75	9	1	0	1000	10	694	500000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1824	1362	661	1190	925	1255	1380	1443	1631	1882	100	100	200	100	500	60000	22900	4	22900																																																																																																					
22905	±‰“Ï÷¡◊…Ò ﬁ	2290	75	9	1	0	1000	10	694	500000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1900	1418	688	1239	964	1255	1380	1443	1631	1882	100	100	200	100	500	60000	22900	5	22900																																																																																																					
22906	±‰“Ï÷¡◊…Ò ﬁ	2290	75	9	1	0	1000	10	694	500000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1976	1475	716	1289	1002	1255	1380	1443	1631	1882	100	100	200	100	500	60000	22900	6	22900																																																																																																					
22909	÷¡◊…Ò ﬁ±¶±¶	2290	75	9	0	1	1000	10	672	1000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	91379	1520	1135	551	991	771	1255	1380	1443	1631	1882	100	100	200	100	500	60000	22900	0	22900																																																																																																					
22910	≥…ƒÍ÷¡◊…Ò ﬁ	2291	85	9	0	0	1000	10	694	550000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1575	1176	571	1027	799	1357	1492	1560	1764	2035	100	100	200	100	500	60000	22910	9	22910																																																																																																					
22911	±‰“Ï÷¡◊…Ò ﬁ	2291	85	9	1	0	1000	10	694	550000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1643	1226	595	1071	833	1357	1492	1560	1764	2035	100	100	200	100	500	60000	22910	1	22910																																																																																																					
22912	±‰“Ï÷¡◊…Ò ﬁ	2291	85	9	1	0	1000	10	694	550000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1711	1277	619	1115	867	1357	1492	1560	1764	2035	100	100	200	100	500	60000	22910	2	22910																																																																																																					
22913	±‰“Ï÷¡◊…Ò ﬁ	2291	85	9	1	0	1000	10	694	550000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1778	1327	644	1159	902	1357	1492	1560	1764	2035	100	100	200	100	500	60000	22910	3	22910																																																																																																					
22914	±‰“Ï÷¡◊…Ò ﬁ	2291	85	9	1	0	1000	10	694	550000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1846	1377	668	1203	936	1357	1492	1560	1764	2035	100	100	200	100	500	60000	22910	4	22910																																																																																																					
22915	±‰“Ï÷¡◊…Ò ﬁ	2291	85	9	1	0	1000	10	694	550000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1913	1428	693	1248	970	1357	1492	1560	1764	2035	100	100	200	100	500	60000	22910	5	22910																																																																																																					
22916	±‰“Ï÷¡◊…Ò ﬁ	2291	85	9	1	0	1000	10	694	550000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1981	1478	717	1292	1004	1357	1492	1560	1764	2035	100	100	200	100	500	60000	22910	6	22910																																																																																																					
22917	±‰“Ï÷¡◊…Ò ﬁ	2291	85	9	1	0	1000	10	694	550000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	2048	1529	742	1336	1039	1357	1492	1560	1764	2035	100	100	200	100	500	60000	22910	7	22910																																																																																																					
22919	÷¡◊…Ò ﬁ±¶±¶	2291	85	9	0	1	1000	10	672	1000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	94971	1575	1176	571	1027	799	1357	1492	1560	1764	2035	100	100	200	100	500	60000	22910	0	22910																																																																																																					
22920	≥…ƒÍ÷¡◊…Ò ﬁ	2292	95	9	0	0	1000	10	694	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1632	1218	591	1064	828	1459	1604	1677	1896	2388	100	100	200	100	500	60000	22920	9	22920																																																																																																					
22921	±‰“Ï÷¡◊…Ò ﬁ	2292	95	9	1	0	1000	10	694	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1693	1264	613	1104	859	1459	1604	1677	1896	2388	100	100	200	100	500	60000	22920	1	22920																																																																																																					
22922	±‰“Ï÷¡◊…Ò ﬁ	2292	95	9	1	0	1000	10	694	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1754	1309	635	1144	890	1459	1604	1677	1896	2388	100	100	200	100	500	60000	22920	2	22920																																																																																																					
22923	±‰“Ï÷¡◊…Ò ﬁ	2292	95	9	1	0	1000	10	694	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1816	1355	658	1184	921	1459	1604	1677	1896	2388	100	100	200	100	500	60000	22920	3	22920																																																																																																					
22924	±‰“Ï÷¡◊…Ò ﬁ	2292	95	9	1	0	1000	10	694	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1877	1401	680	1224	952	1459	1604	1677	1896	2388	100	100	200	100	500	60000	22920	4	22920																																																																																																					
22925	±‰“Ï÷¡◊…Ò ﬁ	2292	95	9	1	0	1000	10	694	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1938	1446	702	1264	983	1459	1604	1677	1896	2388	100	100	200	100	500	60000	22920	5	22920																																																																																																					
22926	±‰“Ï÷¡◊…Ò ﬁ	2292	95	9	1	0	1000	10	694	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1999	1492	724	1304	1014	1459	1604	1677	1896	2388	100	100	200	100	500	60000	22920	6	22920																																																																																																					
22927	±‰“Ï÷¡◊…Ò ﬁ	2292	95	9	1	0	1000	10	694	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	2061	1538	746	1344	1045	1459	1604	1677	1896	2388	100	100	200	100	500	60000	22920	7	22920																																																																																																					
22928	±‰“Ï÷¡◊…Ò ﬁ	2292	95	9	1	0	1000	10	694	600000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	2122	1584	768	1384	1076	1459	1604	1677	1896	2388	100	100	200	100	500	60000	22920	8	22920																																																																																																					
22929	÷¡◊…Ò ﬁ±¶±¶	2292	95	9	0	1	1000	10	672	1000000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98563	1632	1218	591	1064	828	1459	1604	1677	1896	2388	100	100	200	100	500	60000	22920	0	22920																																																																																																					
22930	≥…ƒÍø®ø® ®	2293	5	9	0	0	1000	10	694	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	844	750	1219	656	846	930	972	1099	1269	20	300	150	500	30	60000	22930	9	22930																																																																																																					
22931	±‰“Ïø®ø® ®	2293	5	9	1	0	1000	10	694	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1078	970	862	1402	755	846	930	972	1099	1269	20	300	150	500	30	60000	22930	1	22930																																																																																																					
22932	±‰“Ïø®ø® ®	2293	5	9	1	0	1000	10	694	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	1219	1097	975	1585	853	846	930	972	1099	1269	20	300	150	500	30	60000	22930	2	22930																																																																																																					
22939	ø®ø® ®±¶±¶	2293	5	9	0	1	1000	10	694	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	938	844	750	1219	656	846	930	972	1099	1269	20	300	150	500	30	60000	22930	0	22930																																																																																																					
22940	≥…ƒÍœ„Ãªº¶	2294	5	9	0	0	1	10	698	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	656	750	1219	750	1031	846	930	972	1099	1269	500	100	200	100	100	60000	22940	9	22940																																																																																																					
22941	±‰“Ïœ„Ãªº¶	2294	5	9	1	0	1	10	698	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	755	862	1402	862	1186	846	930	972	1099	1269	500	100	200	100	100	60000	22940	1	22940																																																																																																					
22942	±‰“Ïœ„Ãªº¶	2294	5	9	1	0	1	10	698	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	853	975	1585	975	1341	846	930	972	1099	1269	500	100	200	100	100	60000	22940	2	22940																																																																																																					
22949	œ„Ãªº¶±¶±¶	2294	5	9	0	1	1	10	698	300000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	656	750	1219	750	1031	846	930	972	1099	1269	500	100	200	100	100	60000	22940	0	22940																																																																																																					
22950	≥…ƒÍ¥◊Ω∑ªº¶	2295	45	9	0	0	1	10	698	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	685	783	1272	783	1076	948	1042	1090	1232	1422	500	100	200	100	100	60000	22950	9	22950																																																																																																					
22951	±‰“Ï¥◊Ω∑ªº¶	2295	45	9	1	0	1	10	698	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	753	861	1399	861	1184	948	1042	1090	1232	1422	500	100	200	100	100	60000	22950	1	22950																																																																																																					
22952	±‰“Ï¥◊Ω∑ªº¶	2295	45	9	1	0	1	10	698	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	822	939	1527	939	1292	948	1042	1090	1232	1422	500	100	200	100	100	60000	22950	2	22950																																																																																																					
22953	±‰“Ï¥◊Ω∑ªº¶	2295	45	9	1	0	1	10	698	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	890	1018	1654	1018	1399	948	1042	1090	1232	1422	500	100	200	100	100	60000	22950	3	22950																																																																																																					
22959	¥◊Ω∑ªº¶±¶±¶	2295	45	9	0	1	1	10	698	350000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	685	783	1272	783	1076	948	1042	1090	1232	1422	500	100	200	100	100	60000	22950	0	22950																																																																																																					
22960	≥…ƒÍ∑¨«—ªº¶	2296	55	9	0	0	1	10	698	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	714	816	1326	816	1122	1051	1156	1208	1366	1576	500	100	200	100	100	60000	22960	9	22960																																																																																																					
22961	±‰“Ï∑¨«—ªº¶	2296	55	9	1	0	1	10	698	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	767	877	1425	877	1206	1051	1156	1208	1366	1576	500	100	200	100	100	60000	22960	1	22960																																																																																																					
22962	±‰“Ï∑¨«—ªº¶	2296	55	9	1	0	1	10	698	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	821	938	1524	938	1290	1051	1156	1208	1366	1576	500	100	200	100	100	60000	22960	2	22960																																																																																																					
22963	±‰“Ï∑¨«—ªº¶	2296	55	9	1	0	1	10	698	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	874	999	1624	999	1374	1051	1156	1208	1366	1576	500	100	200	100	100	60000	22960	3	22960																																																																																																					
22964	±‰“Ï∑¨«—ªº¶	2296	55	9	1	0	1	10	698	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	928	1060	1723	1060	1458	1051	1156	1208	1366	1576	500	100	200	100	100	60000	22960	4	22960																																																																																																					
22969	∑¨«—ªº¶±¶±¶	2296	55	9	0	1	1	10	698	400000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	714	816	1326	816	1122	1051	1156	1208	1366	1576	500	100	200	100	100	60000	22960	0	22960																																																																																																					
22970	≥…ƒÍ¿∂›Æªº¶	2297	65	9	0	0	1	10	698	450000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87787	742	848	1379	848	1167	1153	1268	1325	1498	1729	500	100	200	100	100	60000	22970	9	22970																																																																																																					
